index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,local_R_max,local_R_fro,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_affine_residual,cumulative_R_max
"1","IP_L0","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0"
"2","CLEO_SOL#3","Solenoid","Solenoid","0.622301","0.622301","0.0","4.649872002368549e-8","1.5668523955538394e-7","4","2","2.6206151354182415e-13","7.402911671259421e-12","1.1779823000563922e-10","4.649872002368549e-8"
"3","DET_00W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","4.649872002368549e-8"
"4","CLEO_SOL#4","Solenoid","Solenoid","0.015654999999999974","0.015655","2.42861286636753e-17","4.874905149040011e-8","1.4599546071656934e-7","1","6","1.1529334016906901e-14","6.223804891597462e-12","1.432323679999469e-10","8.757392061173319e-8"
"5","Q00W\CLEO_SOL","Sol_Quad","Solenoid","1.117044","1.117044000000091","9.103828801926284e-14","9.142371898329671e-5","0.0001410863973362336","2","1","6.636338295389066e-8","1.934580272861322e-7","2.0277627233583617e-10","9.1508699259224e-5"
"6","Q00W#1","Quadrupole","Quadrupole","0.407756","0.4077560000001048","1.0480505352461478e-13","2.7145384994986532e-5","2.9379044599856155e-5","1","2","1.1662513483938486e-7","5.831828959503016e-8","3.241185832095553e-10","0.00011761519170905288"
"7","D003","Drift","Drift","0.3306650000000002","0.330665","2.220446049250313e-16","4.929757356500219e-8","1.3511026423167217e-7","3","2","4.561408551017492e-12","8.1347428793066e-12","3.637911040119124e-10","0.00010311063774803841"
"8","DET_01W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.00010311063774803841"
"9","D004","Drift","Drift","0.4305399999999997","0.43054","2.7755575615628914e-16","4.9459896263228526e-8","1.0630893875201315e-7","3","6","4.974615278423842e-12","1.4736452075975182e-12","3.748546739939379e-10","9.732007226070927e-5"
"10","Q01W","Quadrupole","Quadrupole","0.9500000000000002","0.95","2.220446049250313e-16","2.7446320548185632e-5","3.310370762654764e-5","1","2","1.4014914096610598e-7","7.007354057425585e-8","7.643873494236897e-10","0.00016306166995483373"
"11","D005","Drift","Drift","1.0634200000000003","1.06342","2.220446049250313e-16","4.7909396228007495e-8","1.0100406368640932e-7","3","4","2.5893866260395316e-12","5.715464722593627e-12","5.311372299415069e-11","0.0002823870082302449"
"12","HV01W","Kicker","Kicker","0.17269999999999985","0.1727","1.3877787807814457e-16","4.9651783924927137e-8","9.745501407162163e-8","3","2","9.093967628472481e-14","4.131706370265331e-12","1.3853755642667664e-10","0.00030226254004173114"
"13","D006","Drift","Drift","0.22231999999999985","0.22232","1.3877787807814457e-16","3.922212571466296e-8","9.026337283274983e-8","5","6","2.0036069033020832e-13","4.966997299571396e-12","8.949034299921476e-11","0.0003279211520519354"
