index,name,bmad_key,scibmad_kind,bmad_length_m,scibmad_length_m,length_error_m,local_R_max,local_R_fro,local_R_row,local_R_col,vec0_max,orbit_out_max,bmad_affine_residual,cumulative_R_max
"1","IP_L0","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0"
"2","CLEO_SOL#3","Solenoid","Solenoid","0.622301","0.622301","0.0","4.6685146377454e-8","1.517105816833639e-7","2","3","8.688126728162817e-13","7.71246413087956e-12","1.040244500103869e-10","4.6685146377454e-8"
"3","DET_00W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","4.6685146377454e-8"
"4","CLEO_SOL#4","Solenoid","Solenoid","0.015654999999999974","0.015655","2.42861286636753e-17","4.75239485819845e-8","1.5264135679890868e-7","3","4","2.2597836946446017e-14","4.50050662969409e-12","1.3271464201040917e-10","7.395154844047624e-8"
"5","Q00W\CLEO_SOL","Sol_Quad","Solenoid","1.117044","1.117044000000091","9.103828801926284e-14","9.144894385615387e-5","0.00014108827592178712","2","1","6.638526971412231e-8","1.934556662346737e-7","1.3551726602868686e-10","9.155850550812694e-5"
"6","Q00W#1","Quadrupole","Quadrupole","0.407756","0.4077560000001048","1.0480505352461478e-13","2.7108119181606938e-5","2.9333754015981033e-5","1","2","1.1666154988633789e-7","5.832774354827541e-8","3.198202449400389e-10","0.00011736124455241637"
"7","D003","Drift","Drift","0.3306650000000002","0.330665","2.220446049250313e-16","4.965031111349224e-8","1.063476956783357e-7","3","2","1.9841557155695754e-12","6.434365193430658e-12","4.072658439874602e-10","0.00010311026085485508"
"8","DET_01W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.00010311026085485508"
"9","D004","Drift","Drift","0.4305399999999997","0.43054","2.7755575615628914e-16","4.7915397598182555e-8","9.895329347588131e-8","3","2","1.4105086459855485e-11","4.992886204306657e-12","3.68359941290905e-10","9.723127078586913e-5"
"10","Q01W","Quadrupole","Quadrupole","0.9500000000000002","0.95","2.220446049250313e-16","2.7435262550778994e-5","3.303357851099816e-5","1","2","1.4019322950493625e-7","7.008697012686471e-8","3.275186059858992e-10","0.0001627699971905594"
"11","D005","Drift","Drift","1.0634200000000003","1.06342","2.220446049250313e-16","4.0769524339736955e-8","9.121691408044487e-8","3","6","4.042680051887659e-12","1.0698019076507692e-11","6.808819404558603e-11","0.0002826157758417658"
"12","HV01W","Kicker","Kicker","0.17269999999999985","0.1727","1.3877787807814457e-16","4.97055218036396e-8","1.0297558100806676e-7","1","4","2.9846240483722873e-13","4.82115736222255e-12","1.2117586502356087e-10","0.00030255968562986624"
"13","D006","Drift","Drift","0.22231999999999985","0.22232","1.3877787807814457e-16","3.896347834746376e-8","7.574531585131729e-8","5","6","2.9550753251831447e-13","4.9416638858192086e-12","6.54454549906501e-11","0.00032822228970808"
"14","Q02W","Quadrupole","Quadrupole","0.5999999999999996","0.6","3.3306690738754696e-16","1.7414195463416604e-6","1.9467294219551963e-6","1","2","1.907733356371227e-9","9.499691849129688e-10","7.441062020024924e-10","0.0003862864716666081"
"15","D007","Drift","Drift","0.09432000000000063","0.09432","6.245004513516506e-16","3.8459061433000156e-8","6.800900730893319e-8","3","6","1.3591882258944486e-14","3.8689104003841734e-12","1.580352168573107e-11","0.0003932358352924936"
"16","DET_02W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0003932358352924936"
"17","D008","Drift","Drift","2.0920000000000005","2.092","4.440892098500626e-16","3.5033466050003256e-8","6.272616400911793e-8","5","4","2.888651591206152e-13","6.317186896064855e-12","1.337007701817175e-11","0.0005476019483525718"
"18","SK_Q02W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","1.2044010103129388e-7","1.56284409160351e-7","1","2","3.1501045674175305e-11","1.0125528887572344e-11","2.6978617256867565e-11","0.0005604096235005684"
"19","D009","Drift","Drift","0.1073000000000004","0.1073","3.885780586188048e-16","4.7707616242505615e-8","9.070404139901558e-8","5","2","1.5580933233773133e-14","6.9048551598616115e-12","3.194134106515589e-11","0.0005683115911212511"
"20","SK_Q03W","Quadrupole","Quadrupole","0.17270000000000074","0.1727","7.494005416219807e-16","1.2044010103129388e-7","1.56284409160351e-7","1","2","3.1501045674175305e-11","1.0125527152848868e-11","2.697861899159104e-11","0.0005811192662692477"
"21","D010","Drift","Drift","0.43227999999999867","0.43228","1.3322676295501878e-15","4.409178331140793e-8","8.695909732347164e-8","5","2","4.600826814810709e-14","4.1545658515003414e-12","2.059973502541168e-11","0.0006129773962442187"
"22","B03W","SBend","SBend","2.945368","2.945367833837","1.661630002480763e-7","1.1856660062536939e-5","1.6768434953199654e-5","3","3","2.198982637047381e-10","2.1810015286364008e-10","2.2142469802144404e-10","0.0007790334919908215"
"23","D011","Drift","Drift","0.3772099999999998","0.37721","1.6653345369377348e-16","4.502038409965441e-8","8.326259789056672e-8","3","6","1.9735726825327937e-14","8.550081490385367e-12","1.2589687105324376e-11","0.0008042548855660137"
"24","B03AW","SBend","SBend","1.643548000000001","1.6435479453577","5.4642300906238006e-8","1.0656666229902356e-5","1.5072271930972935e-5","3","3","2.1934726094510996e-10","2.213955020222559e-10","2.2508067686142358e-10","0.0009193196694643468"
"25","D012","Drift","Drift","0.5500699999999998","0.55007","1.1102230246251565e-16","4.518309319935517e-8","7.650753392748437e-8","5","4","2.1614229829527087e-14","9.619612398314992e-12","1.3167160070604034e-11","0.0009654592997039302"
"26","DET_03W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0009654592997039302"
"27","D013","Drift","Drift","0.05940000000000012","0.0594","1.1796119636642288e-16","4.580653617525243e-8","8.178844079724291e-8","1","2","9.36417963478411e-16","4.937367243431625e-12","2.506803098434318e-11","0.0009715051871292957"
"28","Q03W","Quadrupole","Quadrupole","0.5999999999999996","0.6","3.3306690738754696e-16","1.2986519137836439e-7","1.7279793104774293e-7","1","2","2.35537656206147e-11","1.5898511673828608e-11","3.9360462458781775e-10","0.0010559781520780298"
"29","D014","Drift","Drift","0.23537999999999926","0.23538","7.494005416219807e-16","4.843166593774448e-8","8.07740810904887e-8","5","4","3.8946858469681773e-17","7.343426214334592e-12","7.847663491267198e-12","0.0010983823347210375"
"30","B04W","SBend","SBend","3.237903000000001","3.237903","8.881784197001252e-16","5.600000000050009e-6","6.953705422720228e-6","3","3","1.213034183951349e-10","1.2074477617702922e-10","2.894612102094518e-10","0.0016749654762624466"
"31","D015","Drift","Drift","0.22719999999999985","0.2272","1.6653345369377348e-16","4.2830295233021125e-8","7.600151157541293e-8","5","4","1.660523294800807e-17","5.602688452066573e-12","4.954807397705707e-12","0.001714883301999759"
"32","SK_Q04W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","3.732107584086819e-8","6.639806205816793e-8","1","2","3.644820764725132e-15","6.148471488887086e-12","6.8167838995075725e-12","0.0017452256104122377"
"33","D016","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","3.934584714379291e-8","9.113440944108258e-8","5","2","6.719291265190629e-17","6.046304082407694e-12","7.384825390088778e-12","0.001800112620800931"
"34","Q04W","Quadrupole","Quadrupole","0.6000000000000014","0.6","1.4432899320127035e-15","1.2033109976217204e-6","1.279312272564679e-6","1","2","1.2862485449991958e-9","6.357503325865599e-10","3.8236821695014633e-10","0.0017691087251248128"
"35","D017","Drift","Drift","0.1623999999999981","0.1624","1.887379141862766e-15","4.891172254171868e-8","8.577632056229615e-8","5","4","1.6022846024228962e-13","4.360503128822586e-12","3.454326841928479e-11","0.0017236642732099128"
"36","DET_04W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.0017236642732099128"
"37","D018","Drift","Drift","0.33275000000000077","0.33275","7.771561172376096e-16","3.955311728143229e-8","6.488885534625676e-8","1","2","3.8402715388111477e-13","1.967626745130041e-12","7.737558944259648e-11","0.0016305530374030042"
"38","B05W","SBend","SBend","3.2379029999999993","3.237903","8.881784197001252e-16","0.00020370000000002886","0.00028725283593013327","4","4","4.027531274362873e-9","4.039184145825331e-9","3.0363330499514306e-10","0.0018786289242850585"
"39","D019","Drift","Drift","0.22719999999999985","0.2272","1.6653345369377348e-16","4.887364441527164e-8","8.82634242948526e-8","1","6","8.246145760025064e-14","8.353591581487796e-12","9.019296724407933e-11","0.0019349161832951656"
"40","SK_Q05W","Quadrupole","Quadrupole","0.17270000000000252","0.1727","2.525757381022231e-15","1.0644298842343858e-6","1.130650888319073e-6","1","2","1.3638515724466602e-9","6.76072470250956e-10","7.987675288995827e-11","0.0019777276994362714"
"41","D020","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","4.430401971849571e-8","9.006463651166058e-8","5","4","1.3661571255434656e-13","7.736188209137018e-12","3.121535972414047e-11","0.002055121852124031"
"42","Q05W","Quadrupole","Quadrupole","0.5999999999999979","0.6","2.1094237467877974e-15","4.4879516882812e-6","4.7401251986502755e-6","1","2","6.366413704320808e-9","3.1810400281766238e-9","3.8819014409191555e-11","0.0020638288313796216"
"43","D021","Drift","Drift","0.17040000000000077","0.1704","7.771561172376096e-16","3.6454304605461514e-8","5.710356803372191e-8","5","2","2.5169654098462096e-13","6.842040822796491e-12","9.314651610789482e-11","0.002026484630575809"
"44","DET_05W","Marker","Marker","0.0","0.0","0.0","0.0","0.0","1","1","0.0","0.0","0.0","0.002026484630575809"
"45","D022","Drift","Drift","0.3247509999999991","0.324751","8.881784197001252e-16","4.163581947884273e-8","7.882416845804954e-8","3","6","3.0660612751091465e-14","8.367377354412484e-12","6.633315164511489e-11","0.0019553134983574805"
"46","B06W","SBend","SBend","3.2379029999999993","3.237903","8.881784197001252e-16","0.000247200000000003","0.00034792087384294363","3","3","7.65466886152468e-9","7.66040151547437e-9","1.297415130008478e-10","0.0028033554379049974"
"47","D023","Drift","Drift","0.22719900000000237","0.227199","2.3592239273284576e-15","3.838518757558861e-8","6.835135500344216e-8","3","6","2.491487657232887e-13","4.155687729698321e-12","4.944504528037186e-11","0.002766048008776778"
"48","SK_Q06W","Quadrupole","Quadrupole","0.17269999999999897","0.1727","1.0269562977782698e-15","1.5215840999949215e-6","1.6122060343518779e-6","1","2","2.3690312147864192e-9","1.1887958499545714e-9","8.465687005576594e-11","0.002739518116850803"
"49","D024","Drift","Drift","0.31240000000000023","0.3124","2.220446049250313e-16","3.739101277807754e-8","6.834930926440235e-8","1","6","4.721324478072162e-13","8.024449811225298e-12","9.696903414783964e-11","0.0026884286514849975"
